T(K)	N_ce(e/cell)	N_sd(e/cell)	R_pe(Om.m)	R_sd(Om.m)	R_ee(Om.m)
5.000000	0.000000	0.000000	nan	nan	nan
45.000000	0.041144	0.000000	0.000000e+00	nan	0.000000e+00
85.000000	0.085064	0.000000	0.000000e+00	nan	0.000000e+00
125.000000	0.128105	0.000000	0.000000e+00	nan	0.000000e+00
165.000000	0.184910	0.000000	0.000000e+00	nan	0.000000e+00
205.000000	0.228081	0.000000	0.000000e+00	nan	0.000000e+00
245.000000	0.272634	0.000000	0.000000e+00	nan	0.000000e+00
285.000000	0.335709	0.000000	0.000000e+00	nan	0.000000e+00
325.000000	0.387105	0.000000	0.000000e+00	nan	0.000000e+00
365.000000	0.442920	0.000000	0.000000e+00	nan	0.000000e+00
405.000000	0.503791	0.000000	0.000000e+00	nan	0.000000e+00
445.000000	0.593471	0.000000	0.000000e+00	nan	0.000000e+00
485.000000	0.667408	0.000000	0.000000e+00	nan	0.000000e+00
525.000000	0.746765	0.000000	0.000000e+00	nan	0.000000e+00
565.000000	0.831137	0.000000	0.000000e+00	nan	0.000000e+00
605.000000	0.950040	0.000000	0.000000e+00	nan	0.000000e+00
645.000000	1.042865	0.000000	0.000000e+00	nan	0.000000e+00
685.000000	1.137615	0.000000	0.000000e+00	nan	0.000000e+00
725.000000	1.233268	0.000000	0.000000e+00	nan	0.000000e+00
765.000000	1.360531	0.000000	0.000000e+00	nan	0.000000e+00
805.000000	1.454656	0.000000	0.000000e+00	nan	0.000000e+00
845.000000	1.546957	0.000000	0.000000e+00	nan	0.000000e+00
885.000000	1.637036	0.000000	0.000000e+00	nan	0.000000e+00
925.000000	1.753761	0.000000	0.000000e+00	nan	0.000000e+00
965.000000	1.839014	0.000000	0.000000e+00	nan	0.000000e+00
1005.000000	1.922852	0.000000	0.000000e+00	nan	0.000000e+00
1045.000000	2.033813	0.000000	0.000000e+00	nan	0.000000e+00
1085.000000	2.117631	0.000000	0.000000e+00	nan	0.000000e+00
1125.000000	2.203389	0.000000	0.000000e+00	nan	0.000000e+00
1165.000000	2.292360	0.000000	0.000000e+00	nan	0.000000e+00
1205.000000	2.418331	0.000000	0.000000e+00	nan	0.000000e+00
1245.000000	2.519697	0.000000	0.000000e+00	nan	0.000000e+00
1285.000000	2.628360	0.000000	0.000000e+00	nan	0.000000e+00
1325.000000	2.745141	0.000000	0.000000e+00	nan	0.000000e+00
1365.000000	2.914729	0.000000	0.000000e+00	nan	0.000000e+00
1405.000000	3.052349	0.000000	0.000000e+00	nan	0.000000e+00
1445.000000	3.198935	0.000000	0.000000e+00	nan	0.000000e+00
1485.000000	3.354009	0.000000	0.000000e+00	nan	0.000000e+00
1525.000000	3.572940	0.000000	0.000000e+00	nan	0.000000e+00
1565.000000	3.744619	0.000000	0.000000e+00	nan	0.000000e+00
1605.000000	3.921534	0.000000	0.000000e+00	nan	0.000000e+00
1645.000000	4.163629	0.000000	0.000000e+00	nan	0.000000e+00
1685.000000	4.347578	0.000000	0.000000e+00	nan	0.000000e+00
1725.000000	4.532274	0.000000	0.000000e+00	nan	0.000000e+00
1765.000000	4.716822	0.000000	0.000000e+00	nan	0.000000e+00
1805.000000	4.961130	0.000000	0.000000e+00	nan	0.000000e+00
1845.000000	5.141719	0.000000	0.000000e+00	nan	0.000000e+00
1885.000000	5.319663	0.000000	0.000000e+00	nan	0.000000e+00
1925.000000	5.494553	0.000000	0.000000e+00	nan	0.000000e+00
1965.000000	5.722911	0.000000	0.000000e+00	nan	0.000000e+00
