Bx(GPa)	By(GPa)	Bz(GPa)
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
-0.000000	-0.000000	-7142.856934
